Hours,contact_100dry,20cm_100dry,40cm_100dry,60cm_100dry,contact_100wet,20cm_100wet,40cm_100wet,60cm_100wet
0.00,944,31.8,30.5,30.1,345,15.3,44.1,21.43740982
0.02,988.5,31.8,30.6,30.1,342.2666667,17.3,44.6,23.5638244
0.03,1008.3,32,30.6,30.1,407.7,17.3,44.7,23.3638244
0.05,1006.45,32,30.8,30.1,670.7,75.05,44.7,24.61412982
0.07,986.7,32.3,30.8,30.1,717,19,44.8,28.99776935
0.08,969.15,32.2,26.1,25.45,842.4,61.6,44.7,24.39654913
0.10,936.9,32.7,25.15,26.55,911.5666667,42.5,44.7,20.82172396
0.12,875.9,32.9,26.75,25.05,934.5333333,40.15,44.8,19.00274987
0.13,852.7,32.7,27.15,25.05,948.3333333,40.5,44.9,19.76407018
0.15,841.15,33.2,27.05,25.05,955.8,33.6,33.25,22.75156857
0.17,833.05,33.1,27.25,25.05,956.6666667,33.55,33.35,23.01902045
0.18,825.05,33.4,27.3,25.05,961.8,33.85,33.45,22.35079238
0.20,819.9,33.3,27.15,25.05,961.1333333,36.9,33.55,23.27610416
0.22,813.65,33.6,27.5,25.1,964.4666667,34.85,33.6,23.80407648
0.23,809.05,33.5,27.5,25.15,967.4666667,31.95,33.65,23.85310568
0.25,804.35,33.5,27.9,25.25,966.6333333,34.55,33.55,23.55440228
0.27,799.65,33.6,28.4,25.2,964.9333333,37.5,33.7,23.42106895
0.28,795.5,34.1,28,25.25,962.9333333,35.75,33.7,23.40472921
0.30,790.5,33.9,27.45,25.2,959,40.05,33.75,23.25440228
0.32,786.55,34,27.4,25.25,957.9666667,73.2,33.75,23.33676154
0.33,782.3,34,27.5,25.25,954.4333333,76.2,33.95,23.10472921
0.35,777.8,34.2,27.45,25.3,950.2666667,42.3,34,22.839382
0.37,774.15,34.2,27.5,25.3,946.8,43.1,34,23.25310568
0.38,769.9,34.4,27.55,25.3,945.5666667,42.35,34.1,23.25310568
0.40,765.9,34.5,27.45,25.35,944.2666667,40.5,34.4,23.15310568
0.42,762.4,34.6,27.6,25.4,941.2666667,41.95,34.55,23.16945087
0.43,758.35,34.8,27.7,25.45,938.4333333,42.15,34.55,23.08643901
0.45,754.7,34.9,27.65,25.45,935.3333333,43.45,34.75,23.08643901
0.47,751.15,35,27.65,25.55,932.2333333,43.85,34.9,23.01977234
0.48,747.35,35.3,27.8,25.55,929.3333333,43.85,35,23.05310568
0.50,743.7,35.3,27.75,25.6,925.8666667,43.6,35,22.97009487
0.52,740.45,35.7,27.9,25.65,922.7333333,44.15,35.1,22.93676154
0.53,736.85,36,27.95,25.65,919.3666667,44.4,35.15,22.97009487
0.55,733.4,36.3,28.15,25.75,915.8333333,44.15,35.3,22.8537518
0.57,730.1,36.5,28.2,25.75,912.4666667,44.85,35.25,22.8537518
0.58,726.7,37.1,28.1,25.85,908.8333333,44.4,35.35,22.77074315
0.60,724.15,37.1,28.2,25.85,905.6,44.15,35.55,22.72106895
0.62,720.95,37.4,28.3,25.85,902.4333333,43.15,35.55,22.67074315
0.63,717.9,37.8,28.3,25.95,898.7,43.75,35.6,22.62106895
0.65,714.6,38.2,28.35,25.95,895.0666667,44,35.65,22.53806254
0.67,711.6,38.7,28.4,26,891.4333333,44.3,35.8,22.57139588
0.68,708.45,39.2,28.45,26,888.0666667,44.25,35.85,22.50472921
0.70,705.4,39.7,28.4,26.05,884.1333333,44.8,36,22.47139588
0.72,702.2,40.2,28.5,26,880.3333333,45.1,36.1,22.47139588
0.73,699.05,40.8,28.5,26.1,876.5,45.45,36.2,22.40472921
0.75,696,41.4,28.45,26.1,872.2,46,36.35,22.38839062
0.77,693.1,42,28.6,26.2,868.4333333,46.1,36.4,22.38839062
0.78,690.25,42.6,28.65,26.2,864.5333333,47.1,36.5,22.35505729
0.80,687.35,43.3,28.7,26.25,860.6,47.05,36.6,22.32172396
0.82,684.3,44.1,28.7,26.25,856.6666667,48.35,36.75,22.30538655
0.83,681.55,44.8,28.55,26.25,852.7,48.7,36.8,22.22238366
0.85,678.65,45.6,28.55,26.25,848.9,49.4,36.9,22.27205321
0.87,676.15,46.4,28.6,26.3,845,49.15,36.95,22.27205321
0.88,673.35,47.2,28.75,26.35,841.0333333,49.4,37.05,22.22238366
0.90,670.65,47.9,28.85,26.4,837.1666667,49.3,37.15,22.18905033
0.92,667.85,48.7,28.95,26.4,833.0666667,51.1,37.2,22.22238366
0.93,665.35,49.6,28.85,26.4,829.3,51.65,37.3,22.155717
0.95,662.6,50.4,29,26.45,825.4666667,51.65,37.4,22.08905033
0.97,659.15,51.3,29,26.5,821.6666667,51.5,37.45,22.139382
0.98,656.9,52,28.95,26.5,818,52.55,37.6,22.139382
1.00,653.95,52.8,28.95,26.5,814.1,52.9,37.65,22.139382
1.02,652.1,53.6,28.9,26.5,810.6333333,52.1,37.75,22.139382
1.03,650.1,54.7,29.2,26.55,806.8333333,53.2,37.9,22.139382
1.05,647.75,55.2,29.3,26.55,802.7666667,52.45,37.95,22.10604867
1.07,644.85,55.8,29.1,26.55,799.2666667,57.4,38,22.05638158
1.08,642.25,56.5,29.2,26.65,795.3333333,60.6,38.05,22.05638158
1.10,639.7,57.2,28.8,26.55,792.0333333,60.2,38.15,21.98971491
1.12,637.25,57.9,29.45,26.65,788.2,61.9,38.25,21.95638158
1.13,634.95,58.5,29.45,26.65,784.5333333,63.4,38.25,21.92304824
1.15,632.5,59.2,29.6,26.7,781.0333333,64.25,38.45,21.88971491
1.17,630.15,59.8,29.8,26.7,777.4666667,64.4,38.5,21.85638158
1.18,627.6,60.4,29.8,26.7,773.9,65.5,38.7,21.77338242
1.20,625.1,61.1,29.75,26.7,770.3,65.9,38.85,21.80671575
1.22,622.5,61.7,30,26.75,766.8,66.95,39,21.90671575
1.23,620.5,62.3,29.95,26.8,763.1,66.7,39.1,21.77338242
1.25,617.95,62.8,30.1,26.85,759.6666667,68.8,39.2,21.80671575
1.27,615.65,63.4,30,26.8,756.5666667,68.3,39.35,21.90671575
1.28,613.4,63.9,30.4,26.85,753.0666667,69.1,39.55,21.90671575
1.30,610.9,64.4,30.35,26.85,749.2,71.6,39.6,21.79038454
1.32,608.5,64.9,30.05,26.95,745.8666667,72.5,39.75,21.79038454
1.33,606.35,65.4,29.7,26.85,742.8333333,72.8,39.9,21.79038454
1.35,604.15,65.9,30.4,26.9,739.5,73.25,40.05,21.79038454
1.37,601.75,66.3,30.45,26.9,736.2333333,73.2,40.25,21.85705121
1.38,599.65,66.7,30.6,26.9,732.9333333,74.25,40.35,21.85705121
1.40,597.75,67.1,30.75,26.95,729.6666667,74.65,40.55,21.80738798
1.42,594.9,67.4,30.85,27,726.3666667,75.4,40.65,21.69105942
1.43,592.4,67.8,30.8,27,723.3,76.4,40.75,21.69105942
1.45,590.25,67.9,30.9,27,720.2333333,77.1,40.95,21.64139888
1.47,588,68.4,30.95,27.05,717.0666667,77.45,41,21.67473221
1.48,586,68.8,31,27.05,713.8333333,78.25,41.2,21.67473221
1.50,584.1,69,31.05,27.1,710.8,78.8,41.2,21.67473221
1.52,581.8,69.3,31.2,27.15,707.6,79.55,41.4,21.67473221
1.53,579.1,69.6,31.25,27.15,704.4666667,79.65,41.5,21.67473221
1.55,577.4,69.8,31.3,27.15,701.3333333,80.05,41.6,21.69105942
1.57,575.4,70.1,31.3,27.15,698.3,81.15,41.7,21.72439275
1.58,573.2,70.2,31.3,27.15,695.3,82.05,41.8,21.80738798
1.60,571.05,70.4,31.25,27.15,692.1666667,82.8,41.9,21.80738798
1.62,569.1,70.6,31.15,27.15,689.0333333,83.15,42,21.84072131
1.63,567.1,70.8,31.05,27.15,686.1,84.15,42.1,21.80738798
1.65,565.05,70.9,31.25,27.15,682.9333333,84.8,42.25,21.80738798
1.67,562.7,71.2,31.2,27.2,680.0666667,84.45,42.35,21.84072131
1.68,561.1,71.2,31,27.1,677.0666667,85.35,42.45,21.80738798
1.70,558.65,71.5,31.45,27.2,674.1666667,84.7,42.6,21.84072131
1.72,556.7,71.6,31.35,27.2,671.2333333,84.65,42.7,21.75772608
1.73,554.8,71.7,31.5,27.2,668.3333333,85.7,42.7,21.85772608
1.75,552.7,71.9,31.6,27.25,665.4,88.45,42.85,21.84139888
1.77,551.6,71.9,31.5,27.25,662.6333333,87.85,43,21.92439275
1.78,549.65,72,31.6,27.2,659.7666667,87.55,43.05,21.84139888
1.80,547.35,72.2,31.75,27.25,657.0333333,86.55,43.15,21.84139888
1.82,545.15,72.3,31.7,27.3,654.2666667,88.6,43.25,21.87473221
1.83,542.05,72.4,31.6,27.25,651.3,88.25,43.3,21.84139888
1.85,540.9,72.5,31.75,27.25,648.5333333,88.9,43.4,21.75840639
1.87,538.6,72.6,31.6,27.25,645.8,88.8,43.55,21.87473221
1.88,536.15,72.8,31.7,27.25,643,89.15,43.65,21.79173973
1.90,534.65,72.9,31.8,27.35,640.1666667,88.55,43.75,21.87473221
1.92,533.05,72.7,31.7,27.35,637.6333333,89.25,43.85,21.85840639
1.93,530.75,73.1,31.9,27.35,634.8333333,88.9,43.9,21.82507306
1.95,529.4,73,31.95,27.4,632.2,89.4,43.95,21.82507306
1.97,527.55,73.1,31.95,27.4,629.4333333,89.35,44,21.82507306
1.98,525.55,73.2,32,27.4,626.8,89.3,44.1,21.89173973
2.00,524.7,73.2,32.05,27.4,624.1,89.3,44.15,21.85840639
2.02,521.45,73.3,31.95,27.45,621.5666667,90.9,44.2,21.90806555
2.03,520.2,73.3,31.7,27.4,618.7666667,89.9,44.25,21.87473221
2.05,518.25,73.3,32.1,27.45,616.1333333,89.85,44.35,21.87473221
2.07,515.65,73.3,32.1,27.45,613.5,90.05,44.35,21.87473221
2.08,514.75,73.5,32.1,27.45,610.9333333,90.3,44.4,21.87473221
2.10,512.4,73.6,32.2,27.5,608.3333333,90.25,44.45,21.90806555
2.12,511,73.5,32.2,27.5,605.7666667,89.9,44.5,21.90806555
2.13,508.8,73.6,32.2,27.55,603.2666667,89.8,44.65,21.87541532
2.15,507.25,73.5,32.25,27.5,600.6666667,89.7,44.7,21.84208198
