Hours,contact_10wet,contact_10dry,20_10wet,40_10wet,60_10wet,20_10dry,40_10dry,60_10dry
0,20.7,19.6,24.95261107,24.75,19.95,20.55,27.7,23.5
0.01666667,156.1638417,19.6,27.28893259,21.9,22.5,20.65,27.7,23.6
0.03333333,488.7469708,19.6,27.31628795,24.7,20.65,20.5,27.6,23.7
0.05,587.1491635,712.5,28.34313876,23.95,20.75,20.7,27.4,23.7
0.06666667,763.5605011,873.3,29.06575499,24,20.8,20.9,27.4,23.7
0.08333333,666.5476336,1013.65,29.89788758,23.8,20.9,21.3,27.4,23.7
0.1,687.6174469,1024.4,30.45261107,24.35,20.9,20.9,27.4,23.7
0.11666667,794.6701707,1038.15,30.32051631,24.1,21,20.75,27.2,23.8
0.13333333,786.1491316,1057.15,30.05206078,24.2,21,21,27,23.8
0.15,467.7411679,1039.65,30.24313876,24.1,20.95,22,27.1,23.8
0.16666667,464.0001012,1018.5,30.40682832,24.5,21.05,22.4,27.1,23.8
0.18333333,460.2658432,982.7,30.22944765,24.35,21.1,23.05,27,23.9
0.2,754.3884041,931.9,30.27944765,24.5,21.15,23.2,26.9,23.9
0.21666667,748.0212677,913.2,30.27944765,24.65,21.25,24.2,23.05,21.9
0.23333333,741.1075116,890.75,30.47051631,24.9,21.3,25.25,22.95,21.85
0.25,734.3991722,865.65,30.40682832,24.7,21.3,26.55,23,21.85
0.26666667,728.1462833,835.35,30.44313876,24.85,21.4,27.7,22.9,21.85
0.28333333,721.5984709,810.55,30.37944765,24.95,21.45,29.05,22.9,21.9
0.3,715.3057881,792,30.63420273,25.15,21.45,30.5,22.85,21.85
0.31666667,709.3682321,814.3,30.60682832,25.1,21.45,32.15,22.9,21.9
0.33333333,703.3358142,866,30.47944765,25.05,21.55,33.9,22.85,21.85
0.35,697.5561205,905.2,30.59313876,25.2,21.6,35.65,22.85,21.85
0.36666667,691.6844824,1059.1,30.69313876,25.3,21.7,37.25,22.9,21.95
0.38333333,685.7149441,1060.8,30.74313876,25.35,21.75,39.2,23,22.1
0.4,679.701227,1052,30.79313876,25.4,21.75,40.55,23,22.1
0.41666667,675.2423705,1030.1,30.90682832,25.35,21.75,41.5,23.05,22.1
0.43333333,670.2367704,1009.1,31.02051631,25.35,21.9,42.65,23.05,22.15
0.45,662.8339626,990.5,31.13420273,25.4,21.9,44.4,23.05,22.15
0.46666667,657.937324,972.4,31.18420273,25.4,21.95,44.75,23,22.2
0.48333333,655.9411109,952.75,31.33420273,25.55,22.05,46.05,23,22.15
0.5,651.2510754,940.65,31.49788758,25.3,22.1,46.95,23.05,22.25
0.51666667,646.2129371,934.35,31.86628795,25.6,22.15,47.9,23.15,22.2
0.53333333,641.8287657,928.65,31.66157084,25.15,22.2,48.75,23.3,22.3
0.55,637.8459063,922.3,31.85261107,25.63333333,23.2,49.25,23.1,22.2
0.56666667,634.0695233,917.25,32.01628795,25.66666667,23.26666667,49.95,23.05,22.25
0.58333333,630.4471064,906.65,32.12996322,25.73333333,23.3,50.65,23.05,22.3
0.6,626.9224768,900.35,32.24363687,25.73333333,23.33333333,51.2,23.1,22.35
0.61666667,623.6544636,894.95,32.35730891,25.76666667,23.46666667,51.85,23.1,22.4
0.63333333,620.0867561,887.1,32.47097932,25.8,23.5,52.35,23.1,22.35
0.65,616.8724347,880.45,32.69831528,25.96666667,23.5,52.8,23.1,22.4
0.66666667,613.7114932,873.6,32.8256447,26,23.63333333,53.25,23.1,22.35
0.68333333,610.6464062,868,32.93930696,25.96666667,23.63333333,53.7,23.15,22.4
0.7,607.5380476,862.85,33.11662655,26.03333333,23.63333333,54.1,23.1,22.35
0.71666667,604.4327819,856.8,33.34393956,26.1,23.7,54.5,23.15,22.4
0.73333333,601.3264624,851.3,33.58489671,26.1,23.8,54.85,23.2,22.4
0.75,598.5144621,844.6,33.81219321,26.16666667,23.83333333,55.15,23.2,22.4
0.76666667,595.5135333,839.9,34.00312556,26.2,23.8,55.5,23.2,22.4
0.78333333,592.8019601,832.55,34.13040552,26.23333333,23.8,55.75,23.25,22.4
0.8,589.5016671,825.85,34.37131305,26.3,23.83333333,56,23.25,22.45
0.81666667,586.4039164,820.35,34.67583331,26.36666667,23.96666667,56.25,23.3,22.4
0.83333333,583.649066,813.35,34.91670623,26.43333333,24,56.5,23.35,22.4
0.85,580.8012124,806.65,35.1075644,26.46666667,24,56.8,23.4,22.4
0.86666667,577.9556403,800.65,35.34840791,26.56666667,24.06666667,57.05,23.4,22.4
0.88333333,575.1623367,794.65,35.65284327,26.63333333,24.1,57.3,23.45,22.4
0.9,572.5212874,788.75,35.907253,26.66666667,24.1,57.5,23.55,22.45
0.91666667,569.7717918,782.6,36.09804366,26.7,24.16666667,57.7,23.6,22.4
0.93333333,566.8295534,778,36.40240932,26.8,24.26666667,57.9,23.6,22.4
0.95,564.0393187,770.7,36.64316735,26.9,24.3,58.1,23.7,22.45
0.96666667,561.395438,764.35,36.94749014,26.9,24.33333333,58.3,23.8,22.45
0.98333333,558.7147994,758.45,37.26536014,27,24.33333333,58.5,23.8,22.45
1,555.7571899,752.75,37.50606468,27.1,24.4,58.7,23.85,22.45
1.01666667,553.0185171,747.2,37.8103175,27.13333333,24.43333333,58.9,23.9,22.45
1.03333333,550.8755876,741.6,38.06454815,27.13333333,24.4,59.1,24,22.45
1.05,548.3342034,735.4,38.31875728,27.2,24.53333333,59.3,24.05,22.5
1.06666667,545.8005139,729.4,38.62294555,27.23333333,24.53333333,59.5,24.1,22.5
1.08333333,542.7622603,724.15,38.94065268,27.3,24.53333333,59.65,24.25,22.5
1.1,540.5755062,718.2,39.18126248,27.36666667,24.5,59.85,24.25,22.45
1.11666667,537.7902356,712.45,39.48539268,27.43333333,24.6,60,24.35,22.45
1.13333333,535.3064317,707.35,39.90303057,27.46666667,24.53333333,60.25,24.45,22.5
1.15,532.9675036,700.45,40.09360069,27.46666667,24.56666667,60.4,24.5,22.45
1.16666667,530.4865015,688.95,40.34768026,27.56666667,24.63333333,60.6,24.6,22.5
1.18333333,528.4001872,678.35,40.60174477,27.6,24.66666667,60.8,24.65,22.45
1.2,525.521917,668.55,40.90579518,27.73333333,24.63333333,61,24.8,22.45
1.21666667,522.8950231,662.9,41.22333985,27.8,24.73333333,61.15,24.85,22.45
1.23333333,520.5125353,658.95,41.46385765,27.93333333,24.76666667,61.4,25,22.5
1.25,517.9882586,652.9,41.66787179,27.93333333,24.73333333,61.55,25,22.45
