Elapsed time (Hours),contact_50wet,20cm_50wet,40cm_50wet,60cm_50wet,contact_50dry,20cm_50dry,40cm_50dry,60cm_50dry
0,229.767,26.1,22.35,27.2,23.7,21.5,25.5,23.8
0.01666667,228.933,25.733,21.95,25.1,323.2,21.7,22.3,25.2
0.03333333,228.9,25.9,22.15,22.5,943.8,22,25,27.2
0.05,227.033,25.833,21.8,24.7,923.9,23.3,26.6,28
0.06666667,823.767,25.9,21.65,25.8,900.4,22.2,24.3,27.7
0.08333333,912.9,26.1,21.8,15.3,879.6,22.3,23.9,27.9
0.1,921.733,26.3,21.75,22.3,861.9,23.2,25.6,28.2
0.11666667,919.667,26.467,21.8,25,845,24.5,26.9,29.2
0.13333333,914.3,26.6,21.8,25.2,829.9,22.7,26.1,29.7
0.15,907.9,26.667,21.7,24.7,818.9,23.4,26.4,29.9
0.16666667,901.3,26.8,21.7,24.5,813.8,20.2,20.3,20.9
0.18333333,894.8,26.9,21.75,24.2,806.2,20.4,20.5,21.4
0.2,887.5,26.933,21.65,23.5,787.1,20.4,20.6,35.9
0.21666667,880.8,27.033,21.7,23.5,761.9,42.7,28.3,27.7
0.23333333,873.6,27.167,21.7,23.3,756.7,40.9,28.8,28.2
0.25,866.6,27.233,21.65,23.1,752.6,40.6,27.7,27.9
0.26666667,860.367,27.4,21.7,23.1,750.2,39.9,28.1,27.8
0.28333333,854,27.433,21.7,23,771.1,27,22.6,19.5
0.3,847.933,27.6,21.65,22.9,767.1,25.9,22.8,20.6
0.31666667,842.133,27.667,21.6,22.8,762.9,25.2,22.8,21.1
0.33333333,836.333,27.767,21.6,22.9,759.2,24.7,22.8,21.4
0.35,830.867,27.967,21.7,23,755.1,24.4,22.7,21.6
0.36666667,825.267,28.067,21.65,23,751.4,24.1,22.5,21.8
0.38333333,820.2,28.167,21.65,22.9,747.7,23.9,22.6,21.8
0.4,814.767,28.267,21.55,22.8,744.3,24.1,22.8,22.2
0.41666667,809.767,28.333,21.55,22.8,740.8,24.2,22.8,22.2
0.43333333,804.7,28.5,21.55,22.9,737.2,24.2,22.8,22.2
0.45,799.767,28.633,21.6,22.9,734,24.2,22.9,22.2
0.46666667,794.9,28.7,18.8,28.6,730.5,24.4,22.7,21.9
0.48333333,790.167,28.467,19.15,26.1,727.3,24.7,23,21.9
0.5,785.5,29.167,18.5,29.4,724.1,24.9,23.2,21.8
0.51666667,781,29,21.2,26.2,721.1,25.2,23.4,21.7
0.53333333,776.4,29.433,21.55,26.7,717.9,25.5,23.5,21.6
0.55,772,29.667,21.8,26.3,715.1,25.8,23.7,21.2
0.56666667,767.633,29.733,21.75,26,712.2,26.4,24.1,21
0.58333333,763.3,29.633,21.45,25.2,709.6,27.1,24.4,20.8
0.6,759.067,29.767,21.45,25.2,706.8,27.6,24.7,20.7
0.61666667,754.8,30.233,21.85,25.9,704.1,28.1,24.9,20.5
0.63333333,750.433,30.3,21.7,25.6,701.1,28.2,24.8,20.1
0.65,746.533,30.667,21.9,26,698.3,28.7,25.1,19.8
0.66666667,742.533,30.8,21.9,25.8,695.7,29.1,25.3,19.7
0.68333333,738.567,30.967,21.85,25.6,692.7,29.2,25.2,19.3
0.7,734.533,31.2,21.9,25.8,689.7,29.3,25.2,19
0.71666667,730.667,31.4,21.9,25.8,687.1,29.6,25.2,18.9
0.73333333,726.767,31.567,21.9,25.7,684.3,29.9,25.2,19
0.75,722.967,31.7,21.95,25.7,681.6,30.1,25.3,18.9
0.76666667,719.267,31.9,21.9,25.6,678.9,30.4,25.3,18.8
0.78333333,715.6,32.067,21.9,25.5,676.2,30.8,25.4,18.8
0.8,712,32.267,21.9,25.5,673.6,30.9,25.4,18.6
0.81666667,708.433,32.4,21.9,25.4,671,31.4,25.5,18.6
0.83333333,704.9,32.567,21.85,25.4,668.4,31.6,25.6,18.4
0.85,701.533,32.8,21.85,25.4,665.9,31.9,25.6,18.2
0.86666667,698.167,33,21.9,25.4,663.3,32,25.6,18.1
0.88333333,694.9,33.167,21.95,25.4,661.2,32.6,25.8,18.5
0.9,691.633,33.367,22,25.5,658.8,33.1,26.1,18.6
0.91666667,688.467,33.6,22,25.5,656.2,33.3,26,18.6
0.93333333,685.367,33.833,21.95,25.4,653.8,33.6,26.1,18.6
0.95,682.367,33.8,21.8,24.9,651.2,33.5,25.8,18.3
0.96666667,679.367,34.1,22,25.3,648.6,33.6,25.7,18.2
0.98333333,676.467,34.3,22.05,25.4,646.4,33.8,25.7,18.3
1,673.6,34.533,22.15,25.5,643.9,34,25.7,18.3
1.01666667,670.733,34.633,22.05,25.2,641.8,34.2,25.7,18.4
1.03333333,668,34.9,22.15,25.4,639.4,34.6,25.7,18.4
1.05,665.267,35.067,22.25,25.4,637.3,35.1,25.9,18.5
1.06666667,662.633,35.367,22.35,25.7,634.9,35.2,25.8,18.6
1.08333333,659.967,35.367,22.2,25.3,632.6,35.3,25.7,18.6
1.1,657.4,35.633,22.3,25.4,630.3,35.7,25.7,18.6
1.11666667,654.867,35.8,22.35,25.4,628.1,35.8,25.6,18.5
1.13333333,652.367,36.033,22.4,25.6,625.8,35.9,25.6,18.6
1.15,649.833,36.2,22.35,25.3,623.7,36.2,25.5,18.6
1.16666667,647.367,36.367,22.4,25.4,621.7,36.7,25.7,18.7
1.18333333,644.933,36.6,22.4,25.4,619.3,36.8,25.4,18.6
1.2,642.433,36.667,22.3,24.9,617.2,37.2,25.5,18.6
1.21666667,640.1,36.967,22.5,25.4,615,37.6,25.6,18.6
1.23333333,637.7,37.133,22.5,25.3,612.8,37.7,25.4,18.5
1.25,635.4,37.333,22.5,25.3,610.8,38.1,25.4,18.4
1.26666667,633.067,37.5,22.5,25.2,608.6,38.4,25.4,18.4
1.28333333,631.067,39.067,24.15,28.4,606.5,38.8,25.4,18.5
1.3,628.767,39.4,24.3,28.7,604.3,38.9,25.3,18.3
1.31666667,626.5,39.5,24.3,28.6,602.2,39.2,25.2,18.2
1.33333333,624.267,39.767,24.35,28.6,600.2,39.7,25.2,18.2
1.35,622.067,39.967,24.35,28.6,598.1,39.9,25.2,18.2
1.36666667,619.833,40.2,24.35,28.6,596,40.2,25.1,18.1
1.38333333,617.6,40.333,24.4,28.5,593.9,40.4,25,18
1.4,615.433,40.533,24.45,28.6,592,40.8,25.1,18.1
1.41666667,613.233,40.733,24.45,28.6,590.1,41.3,25.2,18.1
1.43333333,611.1,40.967,24.5,28.6,588,41.7,25.2,18.1
1.45,608.833,41.067,24.45,28.6,586.1,41.9,25.2,18
1.46666667,606.767,41.3,24.55,28.6,584.3,42.3,25.1,17.9
1.48333333,604.7,41.5,24.55,28.5,582.2,42.6,25,17.8
1.5,602.533,41.7,24.55,28.5,580.2,42.8,24.9,17.7
1.51666667,600.433,41.867,24.65,28.5,578.3,43.1,25.1,17.8
1.53333333,598.367,42.133,24.75,28.6,576.4,43.6,25.1,17.8
1.55,596.2,42.233,24.65,28.5,574.4,43.9,25.1,17.7
1.56666667,594.133,42.433,24.7,28.5,572.6,44.2,25.1,17.6
1.58333333,592.1,42.667,24.75,28.5,570.5,44.4,24.9,17.5
1.6,590,42.8,24.8,28.5,568.5,44.7,25,17.6
1.61666667,587.967,42.933,24.8,28.5,566.7,45,25,17.3
1.63333333,585.933,43.167,24.85,28.5,564.7,45.2,24.9,17.3
1.65,583.867,43.3,24.85,28.5,562.7,45.4,24.9,17.2
1.66666667,581.9,43.5,24.9,28.5,560.8,45.6,24.9,17
1.68333333,579.933,43.633,24.95,28.5,559,46,24.9,17
1.7,578,43.833,25,28.5,557.2,46.3,25,16.9
1.71666667,576,43.967,25,28.4,555.4,46.5,25.1,16.8
1.73333333,574,44.167,25.1,28.4,553.4,46.7,24.9,16.7
1.75,572.067,44.333,25.1,28.4,551.6,46.8,24.9,16.6
1.76666667,570.033,44.467,25.15,28.3,549.8,47.1,24.9,16.5
1.78333333,568.033,44.6,25.2,28.3,547.9,47.3,24.9,16.4
1.8,566.167,44.833,25.25,28.3,546.1,47.6,24.9,16.3
1.81666667,564.267,44.933,25.25,28.3,544.3,47.9,25,16.2
1.83333333,562.167,45.533,25.85,29.4,542.6,48.2,25.1,16.2
1.85,560.2,45.667,25.9,29.4,540.7,48.3,25.1,15.9
1.86666667,558.2,45.767,25.9,29.4,538.9,48.6,25.1,15.9
1.88333333,556.267,46.033,26,29.4,537.2,48.8,25.1,15.7
1.9,554.367,46.167,26,29.4,535.4,49.2,25.2,15.6
1.91666667,552.467,46.267,26,29.2,533.8,49.7,25.4,15.6
1.93333333,550.533,46.433,26.05,29.3,532.2,49.9,25.4,15.4
1.95,548.667,46.6,26.1,29.3,530.4,50.3,25.5,15.3
1.96666667,546.833,46.733,26.15,29.3,528.5,50.4,25.4,15.1
1.98333333,544.967,46.867,26.15,29.3,526.9,50.8,25.5,15
2,510.05,49.6,31.7,29.3,525.1,51.1,25.5,14.9
2.01666667,508.3,49.7,31.7,29.3,523.4,51.3,25.6,14.7
2.03333333,506.6,49.85,31.7,29.3,521.8,51.7,25.8,14.8
2.05,504.95,49.9,31.7,29.2,520.1,51.8,25.8,14.6
2.06666667,503.25,50.05,31.7,29.2,518.4,52.1,25.9,14.5
2.08333333,501.55,50.25,31.7,29.2,516.8,52.4,26,14.6
2.1,499.8,50.25,31.7,29.1,515.2,52.7,26.1,14.3
2.11666667,498.05,50.4,31.8,29.2,513.4,52.8,26,14.2
2.13333333,496.45,50.45,31.8,29.1,511.9,52.9,26.1,14.2
2.15,494.8,50.6,31.8,29.1,510.3,53.2,26.2,14.3
2.16666667,493.1,50.7,31.8,29.2,508.6,53.4,26.3,14.2
2.18333333,491.4,50.75,31.7,29,506.9,53.4,26.2,14.1
2.2,489.8,50.85,31.8,29,505.2,53.6,26.3,14.1
2.21666667,488.1,50.95,31.9,29,503.6,53.7,26.3,14.1
2.23333333,486.45,51.15,31.9,29,502,53.8,26.3,14.1
2.25,484.8,51.25,31.9,29,500.5,53.9,26.4,14.2
2.26666667,483.2,51.35,31.9,28.9,498.9,54.1,26.4,14.2
2.28333333,481.6,51.5,32,29,497.2,54.1,26.5,14.1
2.3,479.9,51.6,32,29,495.7,54.2,26.5,14.1
2.31666667,478.35,51.65,32,29,494.1,54.3,26.6,14.3
2.33333333,476.65,51.7,31.9,28.9,492.4,54.3,26.7,14.3
2.35,475.1,51.75,32,28.9,490.8,54.6,26.7,14.3
2.36666667,473.55,51.85,32,28.9,489.3,54.7,26.8,14.3
2.38333333,472,51.95,32,28.9,487.7,54.8,26.8,14.3
2.4,470.4,52.15,32.1,29,486.1,54.8,26.8,14.3
2.41666667,468.8,52.1,32.1,29,484.4,54.8,26.9,14.3
2.43333333,467.2,52.2,32.1,28.9,482.7,54.6,26.8,14.3
2.45,465.55,52.25,32.1,28.9,481.1,54.6,26.8,14.4
2.46666667,463.95,52.3,32,28.7,479.6,54.6,26.9,14.6
2.48333333,461.95,52.55,32.2,28.8,478.1,54.6,26.9,14.7
2.5,459.95,52.55,32.2,28.8,476.6,54.8,27,14.8
2.51666667,458.15,52.65,32.2,28.8,475.1,54.8,27,14.8
2.53333333,456.5,52.75,32.3,28.8,473.4,54.8,27,14.8
2.55,454.85,52.8,32.4,28.9,471.7,54.6,26.9,14.8
2.56666667,453.25,52.9,32.4,28.9,470.2,54.6,27,14.9
2.58333333,451.7,53.05,32.4,28.9,468.6,54.3,26.9,15.2
2.6,450,53.05,32.4,28.8,467.2,54.2,27,15.4
2.61666667,448.5,53.15,32.5,28.8,465.5,54.1,27,15.4
2.63333333,446.95,53.25,32.5,28.8,464,54.1,27,15.5
2.65,445.45,53.3,32.6,28.9,462.4,54,27,15.6
2.66666667,443.9,53.4,32.6,28.8,460.9,53.9,27,15.6
2.68333333,442.35,53.5,32.6,28.9,459.4,53.9,27,15.7
2.7,440.85,53.5,32.6,28.8,457.9,53.9,27.1,15.7
2.71666667,439.3,53.6,32.6,28.8,456.4,53.8,27.1,15.8
2.73333333,437.85,53.65,32.7,28.8,455,53.9,27.2,15.9
2.75,436.35,53.75,32.7,28.8,453.6,53.9,27.3,16
2.76666667,434.8,53.8,32.7,28.7,451.9,53.9,27.2,15.9
2.78333333,433.3,53.9,32.7,28.8,450.6,54,27.3,16.1
2.8,431.8,53.95,32.8,28.8,449.1,54.1,27.3,16.2
2.81666667,430.3,54,32.8,28.8,447.7,54.1,27.4,16.2
2.83333333,428.8,54.05,32.8,28.7,446.2,54,27.4,16.2
2.85,427.35,54.15,32.8,28.8,444.7,53.9,27.3,16.2
2.86666667,425.85,54.2,32.9,28.8,443.2,53.8,27.3,16.4
2.88333333,424.35,54.25,32.9,28.8,441.8,53.7,27.3,16.4
2.9,422.85,54.3,32.9,28.8,440.4,53.8,27.4,16.5
2.91666667,421.35,54.4,33,28.8,438.9,53.8,27.4,16.6
2.93333333,420,54.4,33,28.8,437.6,53.8,27.6,16.8
2.95,418.45,54.5,33,28.7,436.1,53.8,27.6,16.8
2.96666667,417.05,54.5,33,28.7,434.7,53.7,27.6,16.8
2.98333333,415.65,54.6,33.1,28.8,433.1,53.7,27.6,16.8
3,414.2,54.65,33.1,28.8,431.8,53.7,27.7,17
3.01666667,412.75,54.7,33.2,28.8,430.4,53.8,27.7,17
3.03333333,411.4,54.75,33.2,28.8,429.1,53.8,27.6,17.1
3.05,410,54.85,33.2,28.8,427.6,53.8,27.7,17.1
3.06666667,408.5,54.8,33.2,28.7,426.2,53.8,27.8,17.2
3.08333333,407.1,54.9,33.2,28.7,425,53.9,28,17.4
3.1,405.75,54.95,33.3,28.8,423.6,53.8,27.9,17.5
3.11666667,404.3,55,33.4,28.9,422.2,53.8,28,17.5
3.13333333,402.95,55.05,33.3,28.8,420.8,53.8,27.9,17.6
3.15,401.55,55.05,33.4,28.8,419.4,53.8,28.1,17.7
3.16666667,400.2,55.15,33.5,28.8,418.1,53.7,28.1,17.7
3.18333333,398.8,55.15,33.5,28.9,416.8,53.8,28.2,17.9
3.2,397.35,55.25,33.5,28.8,415.4,53.8,28.2,17.9
3.21666667,396,55.2,33.6,28.8,414.2,53.8,28.3,17.9
3.23333333,394.7,55.3,33.5,28.8,412.9,53.9,28.3,18.1
3.25,393.3,55.35,33.6,28.8,411.4,53.9,28.3,18.1
3.26666667,392,55.4,33.6,28.8,410.2,53.9,28.4,18.1
3.28333333,390.7,56,34.8,29.9,409.1,53.9,28.5,18.3
3.3,389.35,55.55,33.8,28.8,407.6,54,28.5,18.2
3.31666667,388,55.45,33.8,28.9,406.3,54.1,28.6,18.3
3.33333333,386.6,55.5,33.8,28.9,405,53.9,28.6,18.3
3.35,385.3,55.6,33.9,28.9,403.6,53.8,28.6,18.3
3.36666667,383.9,55.55,33.8,28.9,402.3,53.9,28.6,18.3
3.38333333,382.6,55.6,33.9,28.9,401.1,53.9,28.7,18.3
3.4,381.3,55.65,34,28.9,399.7,53.9,28.7,18.4
3.41666667,380,55.7,34,29,398.3,53.8,28.7,18.4
3.43333333,378.7,55.7,33.9,28.9,397,53.8,28.7,18.4
3.45,377.35,55.75,34,28.9,395.6,53.7,28.6,18.4
3.46666667,376.05,55.75,34.1,29,394.4,53.8,28.8,18.6
3.48333333,374.7,55.8,34,28.9,393.3,53.8,28.8,18.6
3.5,373.55,55.8,34.1,28.9,391.8,53.9,28.9,18.6
3.51666667,372.25,55.8,34.1,28.9,390.6,53.9,28.8,18.5
3.53333333,370.95,55.85,34.1,28.9,389.2,54.1,28.9,18.6
3.55,369.65,55.7,34.1,28.8,387.9,53.9,28.9,18.4
3.56666667,368.4,55.8,34.2,28.9,386.7,53.8,28.9,18.6
3.58333333,367.2,55.8,34.2,28.9,385.3,53.8,28.9,18.6
3.6,366,55.9,34.3,28.9,384.1,53.8,28.9,18.7
3.61666667,364.7,55.9,34.2,28.8,382.8,53.7,28.9,18.6
3.63333333,363.45,55.95,34.3,28.9,381.5,53.6,28.9,18.6
3.65,362.3,56,34.4,29,380.2,53.6,28.9,18.7
3.66666667,361.05,56.05,34.4,29,379,53.6,28.9,18.7
3.68333333,359.8,55.95,34.4,28.9,377.7,53.6,28.9,18.7
3.7,358.55,56,34.5,28.9,376.4,53.6,28.9,18.7
3.71666667,357.4,56,34.5,29,375.4,53.6,29.1,18.8
3.73333333,355.8,56.05,34.5,29,374.1,53.6,29.1,18.8
3.75,354.4,56,34.5,29,372.9,53.7,29.2,18.9
3.76666667,353.15,56,34.5,29,371.7,53.6,29.2,18.9
3.78333333,351.95,56.1,34.6,29,370.5,53.6,29.2,18.9
3.8,350.85,56.05,34.6,29.1,369.3,53.6,29.2,19
3.81666667,349.65,56.05,34.6,29,368.1,53.4,29.2,19
3.83333333,348.45,56,34.7,29,366.9,53.4,29.2,19.1
3.85,347.25,56,34.6,28.9,365.6,53.4,29.3,19.1
3.86666667,346.1,56,34.7,28.9,364.5,53.6,29.3,19.1
3.88333333,344.9,56,34.7,29,363.4,53.7,29.4,19.1
3.9,343.75,56,34.7,29,362.1,53.6,29.3,19.1
3.91666667,342.6,56,34.8,29,360.7,53.4,29.3,18.9
3.93333333,341.5,56,34.8,29,359.3,53.3,29.2,18.8
3.95,340.4,56.05,34.8,29.1,358.1,53.4,29.3,19
3.96666667,339.25,56.05,34.9,29.1,357.1,53.4,29.4,18.9
3.98333333,338.1,56.05,34.8,29.1,356.1,53.6,29.6,19.2
4,337,56.05,34.8,29,354.9,53.6,29.7,19.3
4.01666667,335.85,56,34.8,29,353.8,53.8,29.9,19.4
4.03333333,334.75,56,34.9,29,352.6,53.7,30,19.4
4.05,333.6,56,34.9,29,351.5,53.7,30,19.5
4.06666667,332.5,56,35,29,350.6,53.8,30.1,19.7
4.08333333,331.35,55.95,35,29,349.5,53.7,30.2,19.8
4.1,330.25,55.95,35,29,348.6,53.9,30.3,19.9
4.11666667,329.2,56,35,28.9,347.6,53.9,30.3,20
4.13333333,328.1,55.95,35,29,346.6,53.8,30.3,20.1
4.15,327.05,56,35.1,29.1,345.8,54.1,30.5,20.2
4.16666667,326,56.05,35.2,29.1,344.7,54.2,30.6,20.3
4.18333333,324.85,56,35.2,29.1,343.4,54.1,30.6,20.1
4.2,323.75,55.9,35.2,29.1,342.2,54,30.5,20.1
4.21666667,322.65,55.9,35.1,29.1,341.2,54.1,30.7,20.3
4.23333333,321.6,55.95,35.2,29.1,340.2,54.1,30.8,20.4
4.25,320.55,55.95,35.2,29.1,339.1,54.2,30.9,20.5
4.26666667,319.45,55.9,35.2,29.1,338.1,54.2,30.9,20.5
4.28333333,318.4,55.85,35.2,29.1,337,54.2,31,20.7
4.3,317.3,55.85,35.3,29.1,336,54.1,30.9,20.6
4.31666667,316.25,55.85,35.4,29.2,334.8,54.1,31.1,20.7
4.33333333,315.2,55.9,35.3,29.1,333.7,54.1,31.1,20.7
4.35,314.2,55.85,35.3,29.1,332.6,54.1,31.1,20.7
4.36666667,313.15,55.8,35.4,29.1,331.5,54.1,31.1,20.8
4.38333333,312.1,55.75,35.3,29,330.6,54.1,31.3,21
4.4,311.05,55.7,35.3,29,329.4,54.2,31.2,20.9
4.41666667,309.95,55.65,35.3,29,328.4,54.2,31.4,21.1
4.43333333,309,55.7,35.4,29,327.6,54.3,31.4,21.2
4.45,307.9,55.65,35.3,29,326.7,54.3,31.6,21.4
4.46666667,306.95,55.7,35.4,29,325.6,54.5,31.7,21.3
4.48333333,306,55.7,35.4,29.1,324.6,54.5,31.6,21.3
4.5,305,55.65,35.4,29.1,323.4,54.6,31.6,21.3
4.51666667,303.95,55.6,35.4,29,322.4,54.5,31.7,21.2
4.53333333,302.95,55.6,35.4,29,321.4,54.6,31.7,21.4
4.55,301.95,55.6,35.4,29,320.4,54.6,31.8,21.3
4.56666667,300.9,55.6,35.5,29.1,319.6,54.5,31.8,21.3
4.58333333,299.95,55.55,35.5,29.1,318.4,54.4,31.8,21.3
4.6,298.95,55.55,35.6,29.2,317.4,54.4,31.8,21.3
4.61666667,297.9,55.45,35.5,29.1,316.4,54.4,31.8,21.3
4.63333333,296.95,55.45,35.6,29.1,315.3,54.3,31.8,21.3
4.65,296,55.4,35.6,29.1,314.1,54.2,31.7,21.2
4.66666667,295,55.4,35.7,29.1,312.9,54.1,31.7,21
4.68333333,294,55.45,35.7,29.2,311.9,54,31.6,21.1
4.7,293.1,55.45,35.7,29.2,311,54,31.6,21.2
4.71666667,292.15,55.4,35.7,29.1,310.1,53.9,31.6,21.1
4.73333333,291.2,55.35,35.7,29.2,309,53.9,31.6,21.1
4.75,290.15,55.3,35.7,29.1,308.1,53.9,31.6,21.1
4.76666667,289.3,55.3,35.8,29.2,306.8,53.9,31.7,21
4.78333333,288.35,55.25,35.7,29.1,306.2,54.2,31.9,21.3
4.8,287.35,55.2,35.8,29.1,305.4,54.3,32.1,21.6
4.81666667,286.4,55.2,35.9,29.2,304.7,54.3,32.2,21.7
4.83333333,285.5,55.2,35.9,29.2,303.8,54.4,32.3,21.8
4.85,284.6,55.15,35.9,29.2,302.9,54.3,32.2,21.8
4.86666667,283.55,55.1,35.8,29.1,302.1,54.3,32.3,21.9
4.88333333,282.65,55.05,35.8,29.1,301.3,54.4,32.4,22.1
4.9,281.75,55.05,35.8,29.1,300.3,54.3,32.4,22
4.91666667,280.85,55.05,35.8,29.1,299.6,54.3,32.5,22.1
4.93333333,279.95,55.05,35.8,29.1,298.6,54.4,32.6,22.1
4.95,279,55,35.8,29.1,297.7,54.2,32.4,22
4.96666667,278.15,55,35.8,29.1,296.7,54.2,32.4,21.9
4.98333333,277.2,55,35.9,29.1,295.9,54.2,32.4,21.9
5,276.3,54.9,35.9,29.1,294.9,54.2,32.4,21.9
5.01666667,275.4,54.9,35.9,29.1,294.1,54.2,32.6,21.9
5.03333333,274.55,54.9,35.9,29.1,293.2,54.2,32.6,21.9
