time,contact_50fp,20cm_50fp,40cm_50fp,60cm_50fp,contact_50road,20cm_50road,40cm_50road,60cm_50road
0,21.1,18.1,17.4,17.3,7.7,,,
0.01666667,1052,17.4,16.5,16.3,284.9,,,
0.03333333,1145,16.9,16,15.6,1017,,,
0.05,1159,16.8,16.2,15.9,1141,,,
0.06666667,1167,17,16.6,16.5,1117,,,
0.08333333,1160,17,16.9,16.9,1138,,,
0.1,1149,17.2,17.2,17.4,1155,,,
0.11666667,1137,17.2,17.5,17.7,958.7,263.6,21.1,25.5
0.13333333,1125,17.2,17.6,17.9,951.2,167.9,22.4,27.6
0.15,1113,17.2,17.7,18.1,964.6,162.3,23.3,29.2
0.16666667,1102,17.1,17.8,18.4,972.5,153.8,22.3,29
0.18333333,1091,17.3,17.9,18.7,954.4,168.6,22.7,29.9
0.2,1081,17.3,18,19,951.8,168,22.7,30.2
0.21666667,1072,17.1,17.8,19.1,950.6,165.3,22.5,30.3
0.23333333,1063,17.2,17.9,19.4,949.2,162.2,22.4,30.3
0.25,1055,17.1,17.9,19.7,907.3,198,22.3,30.3
0.26666667,1046,17.5,27.3,21.4,860.9,239.5,22.1,30.1
0.28333333,1039,17.6,20.2,18.9,826.2,269.5,22,30.1
0.3,1032,20,21,18.8,868.7,224.7,22,30.1
0.31666667,1024,18.2,18.6,19.4,893.6,194.2,21.9,30
0.33333333,1018,18.6,18.4,18.3,981.4,106.3,21.8,29.8
0.35,1011,18.2,17.8,17.9,976.3,106.9,21.8,29.8
0.36666667,1005,18.3,17.7,18.1,976.5,102.2,21.8,29.7
0.38333333,998.6,18.3,17.6,18.1,977.6,96.6,21.7,29.5
0.4,992.4,18.4,17.6,18.3,970.1,99.4,21.5,29.3
0.41666667,986.4,18.4,17.6,18.5,972.5,93,21.9,29.6
0.43333333,980.5,18.5,17.6,18.7,968.8,92.1,21.3,28.9
0.45,974.6,18.6,17.6,18.8,965.5,90.8,21.2,28.7
0.46666667,968.8,18.7,17.5,18.9,964,87.5,20.9,28.4
0.48333333,963.2,18.8,17.5,19,961.6,86.1,20.9,28.3
0.5,957.6,18.9,17.5,19.2,957.3,85.9,20.7,28.1
0.51666667,952.1,19,17.5,19.4,951.9,86.8,20.7,27.9
0.53333333,946.7,19.2,17.5,19.5,943.9,89.6,20.7,27.8
0.55,941.5,19.3,17.5,19.8,951.5,78.6,20.5,27.6
0.56666667,936.4,19.5,17.6,20.1,945.1,80.3,20.4,27.4
0.58333333,931.3,19.7,17.6,20.2,945.3,76.1,20.4,27.3
0.6,926.3,19.8,17.6,20.4,926.3,89.4,20.2,27.1
0.61666667,921.4,20,17.6,20.6,917.2,93.8,20.2,26.9
0.63333333,916.6,20.2,17.7,20.7,915.1,91.5,20.1,26.8
0.65,911.8,20.3,17.7,21,909.9,92.5,20,26.6
0.66666667,907.1,20.6,17.8,21.2,914.9,83.5,20,26.5
0.68333333,902.5,20.9,17.8,21.4,914.5,79.8,19.9,26.3
0.7,897.9,21.2,17.9,21.5,912.9,77.3,19.9,26.2
0.71666667,893.1,21.5,18,21.7,907.6,78,19.7,26
0.73333333,888.7,21.9,18.2,21.9,902.5,78.8,19.7,25.9
0.75,884.5,22.2,18.1,22,899.9,77.1,19.6,25.7
0.76666667,880.6,22.6,18.3,22.2,895.8,76.7,19.6,25.6
0.78333333,876.4,22.9,18.3,22.3,894.2,73.9,19.5,25.4
0.8,872.3,23.3,18.4,22.4,890.4,73.2,19.4,25.3
0.81666667,868.2,23.8,18.5,22.5,881.5,78.7,19.5,25.3
0.83333333,864.2,24.2,18.6,22.7,878,77.5,19.6,24.9
0.85,860.1,24.7,18.7,22.8,871.9,79.7,19.3,24.9
0.86666667,856.2,25.2,18.8,22.9,883.9,63.9,19.3,25.2
0.88333333,852.3,25.7,18.8,23,873.2,72.2,20.4,25.9
0.9,848.3,26.2,18.9,23,870.5,73.7,22.6,28
0.91666667,844.6,26.8,19,23.1,868.7,71.6,22.5,27.9
0.93333333,840.8,27.4,19,23.1,861.5,74.6,22.5,27.8
0.95,837.1,27.9,19.1,23.2,858.8,73.4,22.5,27.6
0.96666667,833.5,28.5,19.2,23.3,852.6,75.9,22.4,27.5
0.98333333,829.9,29.2,19.3,23.4,852.2,72.3,22.3,27.3
1,826.2,29.8,19.4,23.3,854.2,67.1,22.3,27.3
1.01666667,822.7,30.4,19.5,23.4,855.9,62.1,22.3,27.1
1.03333333,819.2,31.1,19.5,23.5,852.5,61.9,22.4,27.1
1.05,815.7,31.8,19.7,23.5,850.1,60.7,22.3,26.9
1.06666667,812.3,32.4,19.7,23.5,848.1,59.2,22.2,26.8
1.08333333,808.9,33.1,19.7,23.5,846.6,57.4,22.2,26.7
1.1,805.5,33.7,19.9,23.6,842.6,57.7,22.1,26.5
1.11666667,802.1,34.3,20,23.6,834.7,62.1,22,26.4
1.13333333,798.8,34.9,20.1,23.6,832.1,61.5,22.2,26.4
1.15,795.5,35.5,20.2,23.6,827.1,63.1,22.2,26.3
1.16666667,792.3,36,20.2,23.6,827.1,60.1,22.3,26.3
1.18333333,789.2,36.7,20.4,23.7,821.3,62.4,22.3,26.2
1.2,785.9,37.2,20.5,23.7,820,60.7,22.2,26.1
1.21666667,782.7,37.7,20.5,23.7,820.1,57.5,22.1,25.9
1.23333333,779.6,38.2,20.5,23.7,831.1,43.9,22.1,25.8
1.25,776.5,38.8,20.7,23.7,822.4,49.1,22.1,25.6
1.26666667,773.4,39.3,20.8,23.6,819.4,49.1,21.8,25.4
1.28333333,770.4,39.9,20.9,23.7,816.5,48.9,21.9,25.3
1.3,767.4,40.2,20.9,23.7,815.3,46.9,22,25.3
1.31666667,764.3,40.7,21,23.7,810.6,49.1,22,25.2
1.33333333,761.3,41.2,21.1,23.7,807.1,49.4,21.8,25
1.35,758.4,41.6,21.3,23.7,803.6,50,21.9,25
1.36666667,755.5,42.1,21.4,23.7,802.9,47.7,21.9,24.9
1.38333333,752.5,42.5,21.4,23.7,796.5,51.2,21.8,24.8
1.4,749.6,42.9,21.4,23.7,794.8,50,21.8,24.7
1.41666667,746.7,43.3,21.6,23.6,790.1,52,21.8,24.6
1.43333333,743.8,43.7,21.6,23.7,784.8,54.2,21.7,24.4
1.45,740.9,44.1,21.7,23.7,783.6,52.5,21.8,24.4
1.46666667,738.1,44.6,21.9,23.7,781.5,52,21.9,24.4
1.48333333,735.3,45,22,23.7,771.3,58.8,21.8,24.2
1.5,732.5,45.4,22,23.7,775,52.9,21.9,24.2
1.51666667,729.7,45.8,22.1,23.6,774.3,50.9,22,24.3
1.53333333,727,46.1,22.2,23.6,772.5,50,22,24.2
1.55,724.4,46.4,22.3,23.6,769,50.4,21.9,24
1.56666667,721.6,46.8,22.4,23.5,765.9,50.7,21.9,23.8
1.58333333,718.9,47.1,22.4,23.5,763.4,50.6,21.8,23.7
1.6,716.2,47.5,22.5,23.4,760.1,51,21.7,23.5
1.61666667,713.6,47.9,22.7,23.5,760.2,48.4,21.9,23.7
1.63333333,711,48.2,22.7,23.5,757.2,48.6,21.8,23.5
1.65,708.2,48.5,22.7,23.4,753.2,49.9,21.8,23.3
1.66666667,705.6,48.8,22.8,23.4,738.7,60.5,21.7,23.2
1.68333333,703,49.2,22.9,23.4,735.9,61.3,21.6,23.1
1.7,700.5,49.5,23,23.4,737.4,57,21.6,22.9
1.71666667,697.8,49.8,23.1,23.4,734,57.9,21.5,22.8
1.73333333,695.2,50.1,23.2,23.4,735.8,53.5,21.6,22.7
1.75,692.6,50.3,23.2,23.3,732.2,54.7,21.6,22.8
1.76666667,690.1,50.6,23.3,23.4,728.9,55.1,21.6,22.5
1.78333333,687.6,50.9,23.5,23.4,727.7,53.8,21.6,22.5
1.8,685,51.1,23.4,23.3,724.6,54.3,21.5,22.4
1.81666667,682.4,51.3,23.5,23.2,721.6,54.8,21.6,22.4
1.83333333,679.9,51.6,23.6,23.2,716.5,57.1,21.6,22.3
1.85,677.5,51.9,23.8,23.3,712.6,58.4,21.7,22.2
1.86666667,675,52.1,23.8,23.2,711.9,56.7,21.7,22.2
1.88333333,672.5,52.3,23.9,23.3,707.1,58.5,21.7,22.2
1.9,670,52.6,24,23.2,707.9,55.2,21.8,22.2
1.91666667,667.6,52.8,24,23.2,697.8,62.3,21.6,21.9
1.93333333,665.2,53.1,24.2,23.2,692.8,65.1,21.7,21.9
1.95,662.8,53.3,24.3,23.3,693.7,61.5,21.8,21.8
1.96666667,660.4,53.5,24.3,23.2,691.6,61.1,21.8,21.8
1.98333333,658,53.7,24.4,23.2,688.4,61.6,21.7,21.7
2,655.6,53.9,24.4,23.2,690.7,56.7,21.7,21.6
2.01666667,653.2,54.1,24.6,23.2,688.1,56.8,21.7,21.6
2.03333333,650.8,54.2,24.6,23.1,685.6,56.6,21.6,21.4
2.05,648.5,54.5,24.8,23.2,678.3,61,21.7,21.3
2.06666667,646.2,54.7,24.8,23.1,676.1,60.9,21.6,21.2
2.08333333,643.8,54.8,24.8,23,671,63.5,21.6,21.2
2.1,641.6,55,24.9,23.1,667.8,64.1,21.7,21.1
2.11666667,639.3,55.2,25,23.1,664.7,64.8,21.6,21
2.13333333,636.9,55.3,25.1,23.1,662.3,64.8,21.6,20.9
2.15,634.7,55.5,25.2,23.1,660.4,64.2,21.6,20.9
2.16666667,632.4,55.7,25.3,23.2,657.9,64.1,21.6,20.7
2.18333333,630,55.8,25.4,23.2,655.4,64.3,21.7,20.8
2.2,627.8,56,25.5,23.2,651.9,65.3,21.7,20.8
2.21666667,625.6,56,25.5,23.1,649.1,65.6,21.8,20.7
2.23333333,623.4,56.2,25.6,23.1,646.1,66,21.7,20.6
2.25,621.1,56.3,25.7,23,642.7,66.8,21.6,20.4
2.26666667,618.9,56.5,25.7,23,641.5,65.7,21.7,20.3
2.28333333,616.8,56.6,25.8,23.1,638.3,66.3,21.6,20.3
2.3,614.5,56.7,25.8,23,634,68.2,21.6,20.2
2.31666667,612.4,56.8,25.9,23,629.4,70.6,21.6,20.1
2.33333333,610.3,57,26.1,23.1,626.5,70.8,21.6,20.1
2.35,608.1,57,26,23,626.1,68.7,21.6,20
2.36666667,605.9,57.2,26.2,23,623.9,68.4,21.6,19.9
2.38333333,603.8,57.3,26.2,23,621.6,68.4,21.6,20
2.4,601.7,57.4,26.3,23,617.9,69.5,21.6,19.8
2.41666667,599.6,57.5,26.4,23,613.5,71.6,21.6,19.7
2.43333333,597.5,57.6,26.5,23,610.1,72.4,21.6,19.7
2.45,595.4,57.7,26.5,23,611.2,69,21.7,19.6
2.46666667,593.3,57.7,26.6,23,608.6,69.2,21.7,19.6
2.48333333,591.3,57.9,26.7,23.1,606.3,69.2,21.8,19.7
2.5,589.3,57.9,26.8,23.1,604,69.1,21.8,19.6
2.51666667,587.2,58,26.8,23.1,601.7,69,21.8,19.5
2.53333333,585.2,58.1,26.9,23.2,599.3,69.1,21.9,19.6
2.55,583.2,58.2,27,23.1,597,69,21.8,19.4
2.56666667,581.1,58.3,27.2,23.1,595,68.6,21.9,19.4
2.58333333,579,58.3,27.2,23.1,592.7,68.7,21.9,19.4
2.6,576.9,58.3,27.2,23,590.4,68.6,21.8,19.2
2.61666667,574.9,58.4,27.3,23,587.8,68.9,21.9,19.2
2.63333333,572.9,58.4,27.3,23,585.6,68.8,21.8,19
2.65,571,58.6,27.4,23.1,583.3,68.7,21.8,18.9
2.66666667,569,58.6,27.5,23.1,581.6,68.2,21.7,18.9
2.68333333,566.9,58.6,27.5,23,579.4,68.2,21.8,18.9
2.7,564.9,58.7,27.6,23,577.1,68.2,21.8,18.8
2.71666667,562.9,58.7,27.6,23,575.6,67.5,21.9,18.8
2.73333333,561,58.9,27.8,23.1,572.5,68.2,21.7,18.6
2.75,559,58.9,27.8,23.1,570.1,68.5,21.8,18.7
2.76666667,557.1,59,27.9,23.1,567.7,68.5,21.7,18.6
2.78333333,555.1,59,28,23.1,565.5,68.5,21.8,18.5
2.8,553.1,58.9,28,23.1,563.5,68.3,21.7,18.4
2.81666667,551.2,59,28,23.1,560.5,69,21.7,18.3
2.83333333,549.3,59.1,28.2,23.1,558.2,69.2,21.7,18.3
2.85,547.3,59.1,28.2,23.1,555.7,69.7,21.7,18.3
2.86666667,545.4,59.2,28.3,23.1,552.1,70.8,21.7,18.2
2.88333333,543.6,59.2,28.3,23.1,550.8,70.1,21.8,18.2
2.9,541.7,59.2,28.3,23.1,549.4,69.3,21.7,18.1
2.91666667,539.8,59.2,28.4,23,547.6,69,21.7,18
2.93333333,538,59.3,28.5,23.1,546,68.5,21.7,17.9
2.95,536.2,59.3,28.6,23.1,544.1,68.4,21.7,17.9
2.96666667,534.3,59.4,28.6,23.1,542.1,68.2,21.8,17.9
2.98333333,532.5,59.4,28.6,23.1,540.1,68.2,21.8,17.8
3,530.7,59.4,28.6,23,537.9,68.3,21.8,17.7
3.01666667,528.7,59.4,28.7,23,536,68.2,21.8,17.7
3.03333333,526.9,59.4,28.8,23,534.1,68,21.8,17.7
3.05,525.1,59.5,28.8,23.1,532.3,67.9,21.8,17.6
3.06666667,523.3,59.6,28.9,23.1,529.7,68.4,21.7,17.5
3.08333333,521.6,59.6,29.1,23.2,527.8,68.4,21.8,17.5
3.1,519.7,59.6,29,23.1,525.9,68.2,21.8,17.5
3.11666667,518,59.6,29,23.1,524.1,68.1,21.8,17.4
3.13333333,516.3,59.6,29.2,23.1,522.2,68,21.8,17.4
3.15,514.5,59.7,29.2,23.1,520.3,67.9,21.8,17.4
3.16666667,512.8,59.7,29.2,23.1,523.2,63.1,21.8,17.3
3.18333333,511.2,59.7,29.4,23.1,521.3,63.1,21.9,17.3
3.2,509.5,59.7,29.4,23.1,519.3,63.1,21.9,17.2
3.21666667,507.8,59.7,29.4,23.1,517.5,63.1,21.9,17.2
3.23333333,505.7,59.7,29.4,23,515.7,63,21.9,17.2
3.25,503.9,59.7,29.4,23,513.7,63.1,21.9,17.2
3.26666667,502.3,59.8,29.5,23.1,511.5,63,21.8,17.1
3.28333333,500.6,59.8,29.6,23.1,509.6,62.9,21.8,17
3.3,498.9,59.8,29.7,23.1,507.8,62.8,21.8,16.9
3.31666667,497.2,59.7,29.7,23.1,506,62.9,21.9,17
3.33333333,495.5,59.7,29.7,23.1,504.2,62.8,22,17
3.35,493.9,59.8,29.8,23.1,502.3,62.7,21.9,16.9
3.36666667,492.3,59.8,29.9,23.2,500.6,62.7,21.9,16.8
3.38333333,490.7,59.8,30,23.2,498.8,62.6,22,16.8
3.4,489,59.8,30,23.2,497,62.5,21.9,16.7
3.41666667,487.4,59.9,30.1,23.2,495.2,62.5,21.9,16.7
3.43333333,485.7,59.8,30.1,23.2,492.7,63.2,21.9,16.7
3.45,484.1,59.8,30.2,23.2,489.2,64.8,21.9,16.7
